MIL BUCKS, 0022200995, Mar 9, vs BKN, 113 - 118, Fiserv Forum, Week 21
MIL BUCKS, 0022201012, Mar 11, @ GSW, 125 - 116, Chase Center, Week 21
MIL BUCKS, 0022201026, Mar 13, @ SAC, 124 - 133, Golden 1 Center, Week 22
MIL BUCKS, 0022201033, Mar 14, @ PHX, 104 - 116, Footprint Center, Week 22
MIL BUCKS, 0022201045, Mar 16, vs IND, 139 - 123, Fiserv Forum, Week 22
MIL BUCKS, 0022201068, Mar 19, vs TOR, 111 - 118, Fiserv Forum, Week 22
MIL BUCKS, 0022201089, Mar 22, vs SAS, 94 - 130, Fiserv Forum, Week 23
MIL BUCKS, 0022201102, Mar 24, @ UTA, 116 - 144, Vivint Arena, Week 23
MIL BUCKS, 0022201109, Mar 25, @ DEN, 129 - 106, Ball Arena, Week 23
MIL BUCKS, 0022201122, Mar 27, @ DET, 117 - 126, Little Caesars Arena, Week 24
MIL BUCKS, 0022201136, Mar 29, @ IND, 136 - 149, Gainbridge Fieldhouse, Week 24
MIL BUCKS, 0022201146, Mar 30, vs BOS, 140 - 99, Fiserv Forum, Week 24
MIL BUCKS, 0022201174, Apr 2, vs PHI, 104 - 117, Fiserv Forum, Week 24
MIL BUCKS, 0022201179, Apr 4, @ WAS, 128 - 140, Capital One Arena, Week 25
MIL BUCKS, 0022201193, Apr 5, vs CHI, 92 - 105, Fiserv Forum, Week 25
MIL BUCKS, 0022201208, Apr 7, vs MEM, 137 - 114, Fiserv Forum, Week 25
MIL BUCKS, 0022201221, Apr 9, @ TOR, 121 - 105, Scotiabank Arena, Week 25
MIL BUCKS, 0042200101, Apr 16, vs MIA, 130 - 117, Fiserv Forum, MIA leads 1-0
MIL BUCKS, 0042200102, Apr 19, vs MIA, 122 - 138, Fiserv Forum, Series tied 1-1
MIL BUCKS, 0042200103, Apr 22, @ MIA, 121 - 99, Kaseya Center, MIA leads 2-1
MIL BUCKS, 0042200104, Apr 24, @ MIA, 119 - 114, Kaseya Center, MIA leads 3-1
MIL BUCKS, 0042200105, Apr 26, vs MIA, 128 - 126, Fiserv Forum, MIA wins 4-1
CLE CAVS, 0012200019, Oct 5, @ PHI, 113 - 112, Wells Fargo Center, Preseason
CLE CAVS, 0012200044, Oct 10, vs PHI, 113 - 97, Rocket Mortgage FieldHouse, Preseason
CLE CAVS, 0012200052, Oct 12, vs ATL, 99 - 105, Rocket Mortgage FieldHouse, Preseason
CLE CAVS, 0012200063, Oct 14, @ ORL, 114 - 108, Amway Center, Preseason
